time;latitude;longitude;HSW
2022-12-09T12:00:00;-6.22;112.04;0.14
2022-12-09T12:00:00;-6.26;112.2;0.14
2022-12-09T12:00:00;-6.31;112.27;0.14
2022-12-09T18:00:00;-6.21;111.8;0.13
2022-12-09T18:00:00;-6.22;112.04;0.14
2022-12-09T18:00:00;-6.26;112.2;0.12
2022-12-09T18:00:00;-6.31;112.27;0.14
2022-12-10T00:00:00;-6.21;111.8;0.26
2022-12-10T00:00:00;-6.22;112.04;0.13
2022-12-10T00:00:00;-6.26;112.2;0.21
2022-12-10T00:00:00;-6.31;112.27;0.14
2022-12-10T06:00:00;-6.21;111.8;0.17
2022-12-10T06:00:00;-6.22;112.04;0.12
2022-12-10T06:00:00;-6.26;112.2;0.24
2022-12-10T06:00:00;-6.31;112.27;0.14
2022-12-10T12:00:00;-6.21;111.8;0.09
2022-12-10T12:00:00;-6.22;112.04;0.09
2022-12-10T12:00:00;-6.26;112.2;0.17
2022-12-10T12:00:00;-6.31;112.27;0.14
2022-12-10T18:00:00;-6.21;111.8;0.13
2022-12-10T18:00:00;-6.22;112.04;0.08
2022-12-10T18:00:00;-6.26;112.2;0.12
2022-12-10T18:00:00;-6.31;112.27;0.11
2022-12-11T00:00:00;-6.21;111.8;0.17
2022-12-11T00:00:00;-6.22;112.04;0.08
2022-12-11T00:00:00;-6.26;112.2;0.17
2022-12-11T00:00:00;-6.31;112.27;0.11
2022-12-11T06:00:00;-6.21;111.8;0.12
2022-12-11T06:00:00;-6.22;112.04;0.08
2022-12-11T06:00:00;-6.26;112.2;0.19
2022-12-11T06:00:00;-6.31;112.27;0.14
2022-12-11T12:00:00;-6.21;111.8;0.09
2022-12-11T12:00:00;-6.22;112.04;0.08
2022-12-11T12:00:00;-6.26;112.2;0.14
2022-12-11T12:00:00;-6.31;112.27;0.13
2022-12-11T18:00:00;-6.21;111.8;0.07
2022-12-11T18:00:00;-6.22;112.04;0.08
2022-12-11T18:00:00;-6.26;112.2;0.09
2022-12-11T18:00:00;-6.31;112.27;0.11
2022-12-12T00:00:00;-6.21;111.8;0.06
2022-12-12T00:00:00;-6.22;112.04;0.06
2022-12-12T00:00:00;-6.26;112.2;0.08
2022-12-12T00:00:00;-6.31;112.27;0.08
2022-12-12T06:00:00;-6.21;111.8;0.04
2022-12-12T06:00:00;-6.22;112.04;0.04
2022-12-12T06:00:00;-6.26;112.2;0.08
2022-12-12T06:00:00;-6.31;112.27;0.08
2022-12-12T12:00:00;-6.21;111.8;0.04
2022-12-12T12:00:00;-6.22;112.04;0.04
2022-12-12T12:00:00;-6.26;112.2;0.09
2022-12-12T12:00:00;-6.31;112.27;0.07
2022-12-12T18:00:00;-6.21;111.8;0.08
2022-12-12T18:00:00;-6.22;112.04;0.06
2022-12-12T18:00:00;-6.26;112.2;0.19
2022-12-12T18:00:00;-6.31;112.27;0.14
2022-12-13T00:00:00;-6.21;111.8;0.19
2022-12-13T00:00:00;-6.22;112.04;0.09
2022-12-13T00:00:00;-6.26;112.2;0.26
2022-12-13T00:00:00;-6.31;112.27;0.21
2022-12-13T06:00:00;-6.21;111.8;0.13
2022-12-13T06:00:00;-6.22;112.04;0.11
2022-12-13T06:00:00;-6.26;112.2;0.24
2022-12-13T06:00:00;-6.31;112.27;0.19
2022-12-13T12:00:00;-6.21;111.8;0.08
2022-12-13T12:00:00;-6.22;112.04;0.11
2022-12-13T12:00:00;-6.26;112.2;0.17
2022-12-13T12:00:00;-6.31;112.27;0.17
2022-12-13T18:00:00;-6.21;111.8;0.07
2022-12-13T18:00:00;-6.22;112.04;0.08
2022-12-13T18:00:00;-6.26;112.2;0.16
2022-12-13T18:00:00;-6.31;112.27;0.14
2022-12-14T00:00:00;-6.21;111.8;0.07
2022-12-14T00:00:00;-6.22;112.04;0.08
2022-12-14T00:00:00;-6.26;112.2;0.16
2022-12-14T00:00:00;-6.31;112.27;0.14
2022-12-14T06:00:00;-6.21;111.8;0.06
2022-12-14T06:00:00;-6.22;112.04;0.07
2022-12-14T06:00:00;-6.26;112.2;0.14
2022-12-14T06:00:00;-6.31;112.27;0.14
2022-12-14T12:00:00;-6.21;111.8;0.12
2022-12-14T12:00:00;-6.22;112.04;0.13
2022-12-14T12:00:00;-6.26;112.2;0.12
2022-12-14T12:00:00;-6.31;112.27;0.12
2022-12-14T18:00:00;-6.21;111.8;0.09
2022-12-14T18:00:00;-6.22;112.04;0.09
2022-12-14T18:00:00;-6.26;112.2;0.11
2022-12-14T18:00:00;-6.31;112.27;0.09
2022-12-15T00:00:00;-6.21;111.8;0.07
2022-12-15T00:00:00;-6.22;112.04;0.07
2022-12-15T00:00:00;-6.26;112.2;0.12
2022-12-15T00:00:00;-6.31;112.27;0.09
2022-12-15T06:00:00;-6.21;111.8;0.06
2022-12-15T06:00:00;-6.22;112.04;0.08
2022-12-15T06:00:00;-6.26;112.2;0.12
2022-12-15T06:00:00;-6.31;112.27;0.11
2022-12-15T12:00:00;-6.21;111.8;0.12
2022-12-15T12:00:00;-6.22;112.04;0.11
2022-12-15T12:00:00;-6.26;112.2;0.14
2022-12-15T12:00:00;-6.31;112.27;0.14
2022-12-15T18:00:00;-6.21;111.8;0.5
2022-12-15T18:00:00;-6.22;112.04;0.39
2022-12-15T18:00:00;-6.26;112.2;0.37
2022-12-15T18:00:00;-6.31;112.27;0.35
2022-12-16T00:00:00;-6.21;111.8;0.45
2022-12-16T00:00:00;-6.22;112.04;0.48
2022-12-16T00:00:00;-6.26;112.2;0.53
2022-12-16T00:00:00;-6.31;112.27;0.48
2022-12-16T06:00:00;-6.21;111.8;0.38
2022-12-16T06:00:00;-6.22;112.04;0.5
2022-12-16T06:00:00;-6.26;112.2;0.52
2022-12-16T06:00:00;-6.31;112.27;0.48
2022-12-16T12:00:00;-6.21;111.8;0.34
2022-12-16T12:00:00;-6.22;112.04;0.47
2022-12-16T12:00:00;-6.26;112.2;0.53
2022-12-16T12:00:00;-6.31;112.27;0.61
2022-12-16T18:00:00;-6.21;111.8;0.39
2022-12-16T18:00:00;-6.22;112.04;0.53
2022-12-16T18:00:00;-6.26;112.2;0.57
2022-12-16T18:00:00;-6.31;112.27;0.65
2022-12-17T00:00:00;-6.21;111.8;0.32
2022-12-17T00:00:00;-6.22;112.04;0.41
2022-12-17T00:00:00;-6.26;112.2;0.37
2022-12-17T00:00:00;-6.31;112.27;0.45
2022-12-17T06:00:00;-6.21;111.8;0.32
2022-12-17T06:00:00;-6.22;112.04;0.35
2022-12-17T06:00:00;-6.26;112.2;0.44
2022-12-17T06:00:00;-6.31;112.27;0.45
2022-12-17T12:00:00;-6.21;111.8;0.22
2022-12-17T12:00:00;-6.22;112.04;0.26
2022-12-17T12:00:00;-6.26;112.2;0.29
2022-12-17T12:00:00;-6.31;112.27;0.35
2022-12-17T18:00:00;-6.21;111.8;0.14
2022-12-17T18:00:00;-6.22;112.04;0.17
2022-12-17T18:00:00;-6.26;112.2;0.21
2022-12-17T18:00:00;-6.31;112.27;0.24
2022-12-18T00:00:00;-6.21;111.8;0.28
2022-12-18T00:00:00;-6.22;112.04;0.13
2022-12-18T00:00:00;-6.26;112.2;0.17
2022-12-18T00:00:00;-6.31;112.27;0.17
